video,rally_id,gt_frame,gt_action,gt_tid,cand_frame,target_offset,dc_at,dc_max,dc_max_off,vel_at,vel_max,vel_min,vel_min_off,pre_vel,post_vel,vel_ratio,wrist_at_cand,wrist_min,wrist_min_off,elbow_at_cand,elbow_min,elbow_min_off,bbox_at_cand,bbox_min,bbox_min_off,act_SERVE,act_RECEIVE,act_SET,act_ATTACK,act_DIG,act_BLOCK
jojo,881f0d56-8b98-4982-b226-04776ec5f3f3,128,RECEIVE,1,125,3,169.83809520325684,169.83809520325684,0,0.023088453314378993,0.04380388149366497,0.006577849575250978,-15,0.028388052411332555,0.024221420003543787,0.8532258448936271,-1.0,-1.0,0,-1.0,-1.0,0,0.0456699707452244,0.0456699707452244,0,0,1,0,0,0,0
jojo,36d3aa2c-96ce-4e25-b1f3-39ad687c48a8,144,RECEIVE,3,143,1,167.73385916634803,167.73385916634803,0,0.017622504758270367,0.025335189377096064,0.00697379643731728,-1,0.018208612954286912,0.019755166422821015,1.0849352706006083,-1.0,-1.0,0,-1.0,-1.0,0,0.020096762831249632,0.020096762831249632,0,0,1,0,0,0,0
jojo,36d3aa2c-96ce-4e25-b1f3-39ad687c48a8,197,SET,,196,1,172.43217347254227,173.0134651039642,1,0.010342651422015986,0.03181578723138707,0.009964304782160809,-15,0.02343355988677895,0.021197871563801467,0.9045945928070945,-1.0,-1.0,0,-1.0,-1.0,0,0.025610315422497306,0.025610315422497306,0,0,0,1,0,0,0
jojo,e72d0cbc-9076-42af-9a9c-738baa7e1bc2,121,SERVE,4,120,1,179.54686958104818,179.54686958104818,0,0.011378318882281337,0.014244762138532461,0.0011963312363037675,-7,0.004592129309865959,0.011065651784811276,2.40969951805087,-1.0,-1.0,0,-1.0,-1.0,0,0.06357293260741861,0.06357293260741861,0,1,0,0,0,0,0
jojo,881f0d56-8b98-4982-b226-04776ec5f3f3,170,SET,2,171,-1,166.3533651208826,166.3533651208826,0,0.006187329661544677,0.03438742844021762,0.006187329661544677,0,0.019812641466069047,0.03151665501229151,1.5907346360790233,-1.0,-1.0,0,-1.0,-1.0,0,0.05024857304118369,0.05024857304118369,0,0,0,1,0,0,0
jojo,881f0d56-8b98-4982-b226-04776ec5f3f3,98,SERVE,,97,1,167.52276147569168,175.69766138737145,-8,0.012677225788875496,0.01875702520953421,0.0005492740143146651,-3,0.0005492740143146651,0.00940469351921473,17.12204341388526,-1.0,-1.0,0,-1.0,-1.0,0,0.03795456973147793,0.03795456973147793,0,1,0,0,0,0,0
jojo,e72d0cbc-9076-42af-9a9c-738baa7e1bc2,204,SET,2,202,2,177.69275863215378,177.69275863215378,0,0.010927862284422852,0.03545939332357265,0.010531283308929117,15,0.029551106315913858,0.030769159621854784,1.0412185348636163,-1.0,-1.0,0,-1.0,-1.0,0,0.04315720945891992,0.04315720945891992,0,0,0,1,0,0,0
jojo,e72d0cbc-9076-42af-9a9c-738baa7e1bc2,247,ATTACK,1,246,1,146.01395914750947,149.0448891452691,-2,0.023610063606225765,0.03026473676337987,0.007656647663422337,11,0.022393008250973474,0.013024486335261893,0.5816318285282501,-1.0,-1.0,0,-1.0,-1.0,0,0.061617599964445574,0.061617599964445574,0,0,0,0,1,0,0
jojo,09e5fb6d-1b82-44e9-b40d-4337afc5c695,131,SERVE,3,126,5,147.29529404170808,179.11035908180367,-8,0.008383892209627167,0.015292553042346804,0.000734795051321446,-7,0.0032760270083145348,0.015292553042346804,4.668017999709528,-1.0,-1.0,0,-1.0,-1.0,0,0.07994601645675894,0.05957380010297053,1,1,0,0,0,0,0
jojo,881f0d56-8b98-4982-b226-04776ec5f3f3,215,ATTACK,1,215,0,79.06043144598198,170.06392527214743,15,0.008518106962156597,0.023851184152233956,0.002200419056183724,3,0.023851184152233956,0.002200419056183724,0.092256176554556,-1.0,-1.0,0,-1.0,-1.0,0,0.0496863087480775,0.032642729817328596,15,0,0,0,1,0,0
jojo,881f0d56-8b98-4982-b226-04776ec5f3f3,233,DIG,,232,1,170.20038966063512,170.20038966063512,0,0.028867314870281772,0.03969668466608181,0.002200419056183724,-14,0.010641463287194937,0.02514897527741609,2.363300478391755,-1.0,-1.0,0,-1.0,-1.0,0,0.024786620319334516,0.024476967387515088,-1,0,0,0,0,1,0
jojo,09e5fb6d-1b82-44e9-b40d-4337afc5c695,161,RECEIVE,1,159,2,165.72887455679174,165.72887455679174,0,0.010711325288090483,0.07529820205571248,0.0051936456114012215,-14,0.03272515995424425,0.04208956352359162,1.2861530266755155,-1.0,-1.0,0,-1.0,-1.0,0,0.0407249219967316,0.0407249219967316,0,0,1,0,0,0,0
jojo,09e5fb6d-1b82-44e9-b40d-4337afc5c695,207,SET,2,205,2,174.0600097117221,174.94421612493272,1,0.01952480715744831,0.07156145201692882,0.010320367567462345,15,0.04076900399475136,0.04583017226911958,1.1241425538632193,-1.0,-1.0,0,-1.0,-1.0,0,0.04121837332776774,0.04121837332776774,0,0,0,1,0,0,0
